timestamp,replicas,p99_latency,queue_size
1782238693,1,NaN,0
1782238703,1,0.4963815789473684,0
1782238713,1,0.49651595744680854,0
1782238723,1,0.49645104895104897,0
1782238734,1,0.4964322916666667,0
1782238744,1,0.4963461538461538,0
1782238754,1,0.4964003759398496,0
1782238764,1,0.49635849056603776,0
1782238774,1,0.4961895161290323,0
1782238784,1,0.49616596638655464,0
1782238794,1,0.49619198312236285,0
1782238804,1,0.4961603375527426,0
1782238814,1,0.49620331950207464,0
1782238824,1,0.49633064516129033,0
1782238834,1,0.49631372549019614,0
1782238845,1,0.4963783269961977,0
1782238855,1,0.6085714285714299,0
1782238865,1,0.6085714285714284,0
1782238875,1,0.6419444444444437,0
1782238885,1,0.6634090909090908,0
1782238895,1,0.6792857142857143,0
1782238905,1,0.6954166666666667,0
1782238915,1,0.6679166666666669,0
1782238925,1,0.6771428571428573,0
1782238935,1,0.6482499999999998,0
1782238945,1,0.6243749999999999,0
1782238956,1,0.7346126760563381,0
1782238966,1,0.9805384615384617,0
1782238976,1,0.9913823529411765,0
1782238986,1,0.9940925266903915,0
1782238996,1,0.9953746928746929,0
1782239006,1,2.108593749999998,0
1782239016,1,2.101562500000001,0
1782239026,1,2.0921875,0
1782239036,1,2.0921874999999996,0
1782239046,1,2.0903125,0
1782239057,1,1.7012499999999926,0
1782239067,7,0.9940571428571429,0
1782239077,8,2.351000000000001,0
1782239087,8,2.367647058823529,0
1782239097,8,2.370470588235294,0
1782239107,8,2.368529411764705,0
1782239117,8,2.367647058823529,0
1782239127,8,2.255212765957446,0
1782239137,8,0.9913139534883721,0
1782239148,8,0.9898520710059172,0
1782239158,8,0.9836170212765957,0
1782239168,8,0.8877083333333332,0
1782239178,8,0.741268656716418,0
1782239188,8,0.7241447368421051,0
1782239198,8,0.7162999999999999,0
1782239208,8,0.61375,0
1782239218,8,0.5844999999999994,0
1782239228,8,0.47398437499999996,0
1782239238,8,0.40138888888888874,0
1782239249,8,0.4010000000000007,0
1782239259,8,0.3955000000000003,0
1782239269,8,0.350714285714286,0
1782239279,8,0.39449999999999985,0
1782239289,8,0.43390625000000016,0
1782239299,8,0.40545454545454584,0
1782239309,8,0.41730769230769205,0
1782239319,8,0.4483333333333332,0
1782239329,8,0.44388888888888894,0
1782239339,8,0.41800000000000015,0
1782239349,8,0.43574999999999986,0
1782239360,8,0.44531250000000017,0
1782239370,8,0.4233333333333328,0
1782239380,8,0.24624999999999997,0
1782239390,8,NaN,0
1782239400,8,NaN,0
1782239410,8,NaN,0
1782239420,8,NaN,0
1782239430,8,NaN,0
1782239440,8,NaN,0
1782239450,8,NaN,0
1782239461,8,NaN,0
1782239471,8,NaN,0
1782239481,8,NaN,0
1782239491,8,NaN,0
1782239501,8,NaN,0
1782239511,8,NaN,0
1782239521,8,NaN,0
1782239531,8,NaN,0
1782239541,8,NaN,0
1782239552,8,NaN,0
1782239562,8,NaN,0
1782239572,8,NaN,0
1782239582,8,NaN,0
1782239592,8,NaN,0
1782239602,8,NaN,0
1782239612,8,NaN,0
1782239622,8,NaN,0
1782239632,8,NaN,0
1782239642,8,NaN,0
1782239652,8,NaN,0
1782239663,8,NaN,0
1782239673,8,NaN,0
1782239683,8,NaN,0
1782239693,8,NaN,0
1782239703,8,NaN,0
1782239713,8,NaN,0
1782239723,8,NaN,0
1782239733,8,NaN,0
1782239743,8,NaN,0
