1781973079,1,NaN,0
1781973094,1,NaN,0
1781973109,1,2.4468181818181813,0
1781973125,1,2.4400000000000004,0
1781973140,1,2.4231249999999998,0
1781973156,1,2.417016129032257,0
1781973171,1,2.356153846153847,0
1781973186,1,2.2277500000000003,0
1781973202,1,1.1424999999999885,0
1781973217,1,0.9859765624999999,0
1781973232,1,1.9524999999999992,0
1781973248,1,2.2762000000000002,0
1781973263,1,2.384897959183674,0
1781973278,2,2.4198571428571434,0
1781973294,2,2.4322222222222223,0
1781973309,2,2.433963414634147,0
1781973325,2,2.4202173913043477,0
1781973341,2,2.4040000000000004,0
1781973356,2,2.40175,0
1781973371,2,2.4402803738317758,0
1781973387,2,2.493311688311688,5
1781973402,2,3.865384615384614,0
1781973418,2,4.548684210526312,22
1781973434,2,4.6816964285714295,4
1781973449,2,4.787951807228915,17
1781973465,3,4.837028301886793,1
1781973480,3,4.858823529411763,16
1781973496,3,4.859873949579833,5
1781973511,3,4.872286821705426,0
1781973527,3,4.860450819672131,26
1781973542,3,4.87405303030303,12
1781973558,3,4.900625,10
1781973576,3,4.927213541666667,27
1781973593,3,4.9406531531531535,24
1781973608,3,4.935049019607844,0
1781973624,3,4.918023255813953,23
1781973640,3,4.919836956521738,15
1781973655,3,4.920767195767196,11
1781973671,3,4.921727748691099,0
1781973687,3,4.909880239520958,17
1781973703,3,4.8822265625000005,23
1781973718,3,4.871521739130434,21
1781973733,3,4.8609813084112155,0
1781973750,3,4.874782608695653,5
1781973766,3,4.873478260869566,21
1781973781,3,4.864732142857143,17
1781973797,3,4.837626262626262,3
1781973813,3,4.859051724137932,1
1781973828,3,4.848853211009174,0
1781973844,3,4.853603603603602,3
1781973860,3,4.861637931034482,0
1781973875,3,4.862938596491228,0
1781973891,3,4.7802816901408445,19
1781973907,3,4.753629032258063,8
1781973922,3,4.551470588235292,3
1781973938,3,4.407692307692307,11
1781973953,3,3.0124999999999824,4
1781973969,3,2.471363636363636,7
1781973984,3,2.468,0
1781974000,3,2.4673061224489796,0
1781974015,3,2.4661029411764703,0
1781974031,3,2.4593421052631577,0
1781974046,3,2.4492105263157895,0
1781974061,3,2.4404545454545454,0
1781974077,3,2.4069999999999996,0
1781974092,3,2.3715624999999996,0
1781974108,3,2.3952631578947363,6
1781974123,3,2.3994262295081965,0
1781974139,3,2.4291566265060243,0
1781974154,3,2.4466071428571423,0
1781974169,3,2.456153846153846,0
1781974185,3,2.426764705882353,0
1781974200,3,NaN,0
1781974216,3,NaN,0
1781974231,3,NaN,0
1781974247,3,NaN,0
